kernel,source,source_token,pipeline_status,linalg_ops,residual_loops,current_match,current_match_scope,remaining_linalg_after_match,remaining_loops_after_match,semantic_family,candidate_library,candidate_api,availability,coverage_scope,rationale,evidence_url,implementation_form,current_implementation_class,current_implementation_detail,counts_as_library_reuse,local_backend_status,compiler_gap
aten_adaptive_max_pool2d_backward_cpu,aten/src/ATen/native/cpu/AdaptiveMaxPoolKernel.cpp,adaptive_max_pool2d_backward_kernel_impl,pass,1,3,memset_zero_1D_f32,PARTIAL_STAGE_ONLY,0,3,adaptive_pooling,cuDNN Resample,average/max reduction over windows,PARTIAL_API,regular_window_cases,cuDNN pooling uses fixed windows/strides; general adaptive pooling has output-dependent window boundaries,https://docs.nvidia.com/deeplearning/cudnn/latest/operations/Resampling.html,PARTIAL_STAGES,CUDA_RUNTIME_PRIMITIVE,CUDA copy or memset runtime primitive,yes,API_BACKEND_ABSENT,PARTIAL_MATCH_ONLY_RESIDUAL_IR_REMAINS
aten_adaptive_max_pool2d_cpu,aten/src/ATen/native/cpu/AdaptiveMaxPoolKernel.cpp,adaptive_max_pool2d_kernel_impl,pass,0,5,,NONE,0,5,adaptive_pooling,cuDNN Resample,average/max reduction over windows,PARTIAL_API,regular_window_cases,cuDNN pooling uses fixed windows/strides; general adaptive pooling has output-dependent window boundaries,https://docs.nvidia.com/deeplearning/cudnn/latest/operations/Resampling.html,PARTIAL_STAGES,NO_IMPLEMENTATION,no emitted launch,no,API_BACKEND_ABSENT,RAISING_BLOCKS_WHOLE_OP_RECOGNITION
aten_adaptive_max_pool3d_backward_cpu,aten/src/ATen/native/cpu/AdaptiveMaxPoolKernel.cpp,adaptive_max_pool3d_backward_kernel_impl,pass,1,4,memset_zero_1D_f32,PARTIAL_STAGE_ONLY,0,4,adaptive_pooling,cuDNN Resample,average/max reduction over windows,PARTIAL_API,regular_window_cases,cuDNN pooling uses fixed windows/strides; general adaptive pooling has output-dependent window boundaries,https://docs.nvidia.com/deeplearning/cudnn/latest/operations/Resampling.html,PARTIAL_STAGES,CUDA_RUNTIME_PRIMITIVE,CUDA copy or memset runtime primitive,yes,API_BACKEND_ABSENT,PARTIAL_MATCH_ONLY_RESIDUAL_IR_REMAINS
aten_adaptive_max_pool3d_cpu,aten/src/ATen/native/cpu/AdaptiveMaxPoolKernel.cpp,adaptive_max_pool3d_kernel_impl,pass,0,7,,NONE,0,7,adaptive_pooling,cuDNN Resample,average/max reduction over windows,PARTIAL_API,regular_window_cases,cuDNN pooling uses fixed windows/strides; general adaptive pooling has output-dependent window boundaries,https://docs.nvidia.com/deeplearning/cudnn/latest/operations/Resampling.html,PARTIAL_STAGES,NO_IMPLEMENTATION,no emitted launch,no,API_BACKEND_ABSENT,RAISING_BLOCKS_WHOLE_OP_RECOGNITION
aten_adaptive_max_pool3d_legacy_backward_cpu,aten/src/ATen/native/AdaptiveMaxPooling3d.cpp,adaptive_max_pool3d_backward_out_frame,pass,0,5,,NONE,0,5,adaptive_pooling,cuDNN Resample,average/max reduction over windows,PARTIAL_API,regular_window_cases,cuDNN pooling uses fixed windows/strides; general adaptive pooling has output-dependent window boundaries,https://docs.nvidia.com/deeplearning/cudnn/latest/operations/Resampling.html,PARTIAL_STAGES,NO_IMPLEMENTATION,no emitted launch,no,API_BACKEND_ABSENT,RAISING_BLOCKS_WHOLE_OP_RECOGNITION
aten_adaptive_max_pool3d_legacy_cpu,aten/src/ATen/native/AdaptiveMaxPooling3d.cpp,adaptive_max_pool3d_out_frame,pass,0,7,,NONE,0,7,adaptive_pooling,cuDNN Resample,average/max reduction over windows,PARTIAL_API,regular_window_cases,cuDNN pooling uses fixed windows/strides; general adaptive pooling has output-dependent window boundaries,https://docs.nvidia.com/deeplearning/cudnn/latest/operations/Resampling.html,PARTIAL_STAGES,NO_IMPLEMENTATION,no emitted launch,no,API_BACKEND_ABSENT,RAISING_BLOCKS_WHOLE_OP_RECOGNITION
aten_add,aten/src/ATen/native/CPUBlas.cpp,void axpy,pass,1,0,cudnnAddTensor_batched,COMPLETE_REWRITE_CANDIDATE,0,0,pointwise,cuDNN,Pointwise graph operation,FULL_GENERIC_API,whole,cuDNN exposes a broad fixed set of unary/binary/ternary pointwise modes,https://docs.nvidia.com/deeplearning/cudnn/latest/operations/operations.html,MULTI_NODE_LIBRARY_GRAPH,DIRECT_VENDOR_API,public vendor API or vendor operation graph,yes,GENERAL_GRAPH_BACKEND_ABSENT,ALREADY_FOUND
aten_add_clamp,aten/src/ATen/native/cpu/BinaryOpsKernel.cpp,add_clamp_kernel,pass,1,0,cudnnPointwiseGraph_f32,COMPLETE_REWRITE_CANDIDATE,0,0,pointwise,cuDNN,Pointwise graph operation,FULL_GENERIC_API,whole,cuDNN exposes a broad fixed set of unary/binary/ternary pointwise modes,https://docs.nvidia.com/deeplearning/cudnn/latest/operations/operations.html,MULTI_NODE_LIBRARY_GRAPH,DIRECT_VENDOR_API,public vendor API or vendor operation graph,yes,GENERAL_GRAPH_BACKEND_ABSENT,ALREADY_FOUND
aten_addcdiv,aten/src/ATen/native/cpu/PointwiseOpsKernel.cpp,addcdiv_cpu,pass,1,0,cudnnPointwiseGraph_f32,COMPLETE_REWRITE_CANDIDATE,0,0,pointwise_reduction_formula,cuDNN,pointwise and reduction operation graph,FULL_GENERIC_API,whole,the complete formula can be assembled from documented cuDNN graph nodes,https://docs.nvidia.com/deeplearning/cudnn/latest/operations/operations.html,MULTI_NODE_LIBRARY_GRAPH,DIRECT_VENDOR_API,public vendor API or vendor operation graph,yes,GENERAL_GRAPH_BACKEND_ABSENT,ALREADY_FOUND
aten_addcmul,aten/src/ATen/native/cpu/PointwiseOpsKernel.cpp,addcmul_cpu,pass,1,0,cudnnPointwiseGraph_f32,COMPLETE_REWRITE_CANDIDATE,0,0,pointwise_reduction_formula,cuDNN,pointwise and reduction operation graph,FULL_GENERIC_API,whole,the complete formula can be assembled from documented cuDNN graph nodes,https://docs.nvidia.com/deeplearning/cudnn/latest/operations/operations.html,MULTI_NODE_LIBRARY_GRAPH,DIRECT_VENDOR_API,public vendor API or vendor operation graph,yes,GENERAL_GRAPH_BACKEND_ABSENT,ALREADY_FOUND
aten_addmm,aten/src/ATen/native/LinearAlgebra.cpp,static void addmm_impl_cpu_,pass,2,0,cublasDgemm,COMPLETE_REWRITE_CANDIDATE,0,0,dense_linear_algebra,cuBLAS,cuBLAS Level-1/2/3 or cuBLASLt Matmul,FULL_FIXED_API,whole,standard vector/matrix product or update,https://docs.nvidia.com/cuda/cublas/,SINGLE_FIXED_CALL,DIRECT_VENDOR_API,public vendor API or vendor operation graph,yes,SELECTED_WRAPPERS_PRESENT,ALREADY_FOUND
aten_addr_elementwise,aten/src/ATen/native/cpu/LinearAlgebraKernel.cpp,addr_kernel,pass,1,0,cudnnAddrElementwise_f32_memref,COMPLETE_REWRITE_CANDIDATE,0,0,pointwise_reduction_formula,cuDNN,pointwise and reduction operation graph,FULL_GENERIC_API,whole,the complete formula can be assembled from documented cuDNN graph nodes,https://docs.nvidia.com/deeplearning/cudnn/latest/operations/operations.html,MULTI_NODE_LIBRARY_GRAPH,DIRECT_VENDOR_API,public vendor API or vendor operation graph,yes,SELECTED_WRAPPERS_PRESENT,ALREADY_FOUND
aten_airy_ai,aten/src/ATen/native/cpu/airy_ai.cpp,airy_ai_kernel,pass,1,0,,NONE,1,0,special_function,,CUDA Math/libdevice scalar function,NO_DIRECT_LIBRARY_API,scalar_only,"a device scalar function may exist, but not a fixed tensor-library launch",,NONE,NO_IMPLEMENTATION,no emitted launch,no,NO_TENSOR_LIBRARY_API,NO_LIBRARY_MATCH_EXPECTED
aten_allany_dims_cpu,aten/src/ATen/native/ReduceOps.cpp,allany_dims_default,pass,2,0,cubSegmentedLogicalSelect_i32_memref,COMPLETE_REWRITE_CANDIDATE,0,0,boolean_reduction,CUB,DeviceSegmentedReduce with logical AND/OR,FULL_GENERIC_API,whole,the runtime flag selects an associative row-wise all or any reduction,https://nvidia.github.io/cccl/cub/api/device.html,SINGLE_CONFIGURED_PRIMITIVE,STANDARD_LIBRARY_ALGORITHM,preimplemented CUB device algorithm,yes,API_BACKEND_ABSENT,ALREADY_FOUND
aten_aminmax_allreduce_cpu,aten/src/ATen/native/cpu/ReduceAllOpsKernel.cpp,aminmax_allreduce_kernel,pass,1,0,cudnnReduceMinMax_f32,COMPLETE_REWRITE_CANDIDATE,0,0,reduction,CUB,DeviceReduce or DeviceSegmentedReduce,FULL_GENERIC_API,whole,associative tensor reduction maps to a device-wide primitive,https://nvidia.github.io/cccl/cub/api/device.html,SINGLE_CONFIGURED_PRIMITIVE,DIRECT_VENDOR_API,public vendor API or vendor operation graph,yes,API_BACKEND_ABSENT,ALREADY_FOUND
aten_aminmax_cpu,aten/src/ATen/native/cpu/TensorCompareKernel.cpp,aminmax_kernel,pass,2,0,"cudnnReduceMax_f32,cudnnReduceMin_f32",COMPLETE_REWRITE_CANDIDATE,0,0,reduction,CUB,DeviceReduce or DeviceSegmentedReduce,FULL_GENERIC_API,whole,associative tensor reduction maps to a device-wide primitive,https://nvidia.github.io/cccl/cub/api/device.html,SINGLE_CONFIGURED_PRIMITIVE,DIRECT_VENDOR_API,public vendor API or vendor operation graph,yes,API_BACKEND_ABSENT,ALREADY_FOUND
aten_amp_update_scale_cpu,aten/src/ATen/native/cpu/AmpGradScalerKernels.cpp,_amp_update_scale_cpu_kernel,pass,0,0,,NONE,0,0,scalar_state_update,,none,NO_DIRECT_LIBRARY_API,none,a two-scalar host control-flow update is not a tensor operation,,NONE,NO_IMPLEMENTATION,no emitted launch,no,NO_TENSOR_LIBRARY_API,NO_LIBRARY_MATCH_EXPECTED
aten_and_reduce_cpu,aten/src/ATen/native/cpu/ReduceOpsKernel.cpp,and_kernel_impl,pass,2,0,cubSegmentedLogicalAnd_i32_memref,COMPLETE_REWRITE_CANDIDATE,0,0,reduction,CUB,DeviceReduce or DeviceSegmentedReduce,FULL_GENERIC_API,whole,associative tensor reduction maps to a device-wide primitive,https://nvidia.github.io/cccl/cub/api/device.html,SINGLE_CONFIGURED_PRIMITIVE,STANDARD_LIBRARY_ALGORITHM,preimplemented CUB device algorithm,yes,SELECTED_WRAPPERS_PRESENT,ALREADY_FOUND
aten_angle_complex_scalarized,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,angle_kernel,pass,1,0,cudnnPointwiseGraph_f32,COMPLETE_REWRITE_CANDIDATE,0,0,complex_layout,cuTENSOR,permutation or elementwise conjugate,FULL_GENERIC_API,whole,cuTENSOR supports permutation and conjugate unary operators,https://docs.nvidia.com/cuda/cutensor/latest/api/cutensor.html,SINGLE_CONFIGURED_PRIMITIVE,DIRECT_VENDOR_API,public vendor API or vendor operation graph,yes,API_BACKEND_ABSENT,ALREADY_FOUND
aten_angle_real,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,angle_kernel,pass,1,0,cudnnPointwiseGraph_f32,COMPLETE_REWRITE_CANDIDATE,0,0,pointwise_reduction_formula,cuDNN,pointwise and reduction operation graph,FULL_GENERIC_API,whole,the complete formula can be assembled from documented cuDNN graph nodes,https://docs.nvidia.com/deeplearning/cudnn/latest/operations/operations.html,MULTI_NODE_LIBRARY_GRAPH,DIRECT_VENDOR_API,public vendor API or vendor operation graph,yes,GENERAL_GRAPH_BACKEND_ABSENT,ALREADY_FOUND
aten_arange_cpu,aten/src/ATen/native/cpu/RangeFactoriesKernel.cpp,arange_kernel,pass,1,0,,NONE,1,0,tensor_initialization,CUDA Runtime,cudaMemset for zero only,PARTIAL_API,zero_fill_stage,general fill and sequence generation have no link-only runtime call,https://docs.nvidia.com/cuda/cuda-runtime-api/,PARTIAL_STAGES,NO_IMPLEMENTATION,no emitted launch,no,API_BACKEND_ABSENT,COMPOSITION_REQUIRED_NOT_MATCHER_ONLY
aten_argmax_cpu,aten/src/ATen/native/cpu/ReduceOpsKernel.cpp,argmax_kernel_impl,pass,4,0,cubSegmentedArgMax_f32_i32_memref,COMPLETE_REWRITE_CANDIDATE,0,0,arg_reduction,CUB,DeviceSegmentedReduce ArgMax/ArgMin,FULL_GENERIC_API,whole,each row is a segment reduced to a value/index pair,https://nvidia.github.io/cccl/cub/api/device.html,SINGLE_CONFIGURED_PRIMITIVE,STANDARD_LIBRARY_ALGORITHM,preimplemented CUB device algorithm,yes,API_BACKEND_ABSENT,ALREADY_FOUND
aten_argmin_cpu,aten/src/ATen/native/cpu/ReduceOpsKernel.cpp,argmin_kernel_impl,pass,4,0,cubSegmentedArgMin_f32_i32_memref,COMPLETE_REWRITE_CANDIDATE,0,0,arg_reduction,CUB,DeviceSegmentedReduce ArgMax/ArgMin,FULL_GENERIC_API,whole,each row is a segment reduced to a value/index pair,https://nvidia.github.io/cccl/cub/api/device.html,SINGLE_CONFIGURED_PRIMITIVE,STANDARD_LIBRARY_ALGORITHM,preimplemented CUB device algorithm,yes,API_BACKEND_ABSENT,ALREADY_FOUND
aten_as_complex_cpu,aten/src/ATen/native/SpectralOps.cpp,as_complex,pass,2,0,cudaCopy1D_f32_tensor,COMPLETE_REWRITE_CANDIDATE,0,0,complex_layout,cuTENSOR,permutation or elementwise conjugate,FULL_GENERIC_API,whole,cuTENSOR supports permutation and conjugate unary operators,https://docs.nvidia.com/cuda/cutensor/latest/api/cutensor.html,SINGLE_CONFIGURED_PRIMITIVE,CUDA_RUNTIME_PRIMITIVE,CUDA copy or memset runtime primitive,yes,API_BACKEND_ABSENT,ALREADY_FOUND
aten_asin,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,asin_kernel,pass,1,0,cutensorUnary_asin_f32,COMPLETE_REWRITE_CANDIDATE,0,0,compound_or_specialized,,none identified,NO_DIRECT_LIBRARY_API,none,no semantically equivalent public NVIDIA tensor-library operation identified,,NONE,DIRECT_VENDOR_API,public vendor API or vendor operation graph,yes,NO_TENSOR_LIBRARY_API,ALREADY_FOUND
aten_asinh,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,asinh_kernel,pass,1,0,cutensorUnary_asinh_f32,COMPLETE_REWRITE_CANDIDATE,0,0,pointwise_reduction_formula,cuDNN,pointwise and reduction operation graph,FULL_GENERIC_API,whole,the complete formula can be assembled from documented cuDNN graph nodes,https://docs.nvidia.com/deeplearning/cudnn/latest/operations/operations.html,MULTI_NODE_LIBRARY_GRAPH,DIRECT_VENDOR_API,public vendor API or vendor operation graph,yes,GENERAL_GRAPH_BACKEND_ABSENT,ALREADY_FOUND
aten_atan,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,atan_kernel,pass,1,0,cutensorUnary_atan_f32,COMPLETE_REWRITE_CANDIDATE,0,0,pointwise_math,NPP,signal arithmetic/transcendental API,FULL_FIXED_API,whole,NPP provides fixed signal math routines for supported dtypes,https://docs.nvidia.com/cuda/npp/index.html,SINGLE_FIXED_CALL,DIRECT_VENDOR_API,public vendor API or vendor operation graph,yes,API_BACKEND_ABSENT,ALREADY_FOUND
aten_atan2,aten/src/ATen/native/cpu/BinaryOpsKernel.cpp,atan2_kernel,pass,1,0,cudnnPointwiseGraph_f32,COMPLETE_REWRITE_CANDIDATE,0,0,pointwise_math,NPP,signal arithmetic/transcendental API,FULL_FIXED_API,whole,NPP provides fixed signal math routines for supported dtypes,https://docs.nvidia.com/cuda/npp/index.html,SINGLE_FIXED_CALL,DIRECT_VENDOR_API,public vendor API or vendor operation graph,yes,API_BACKEND_ABSENT,ALREADY_FOUND
aten_atanh,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,atanh_kernel,pass,1,0,cutensorUnary_atanh_f32,COMPLETE_REWRITE_CANDIDATE,0,0,pointwise_reduction_formula,cuDNN,pointwise and reduction operation graph,FULL_GENERIC_API,whole,the complete formula can be assembled from documented cuDNN graph nodes,https://docs.nvidia.com/deeplearning/cudnn/latest/operations/operations.html,MULTI_NODE_LIBRARY_GRAPH,DIRECT_VENDOR_API,public vendor API or vendor operation graph,yes,GENERAL_GRAPH_BACKEND_ABSENT,ALREADY_FOUND
aten_avg_pool2d,aten/src/ATen/native/AveragePool2d.cpp,avg_pool2d,pass,2,0,cudnnAvgPoolWindow_f32,COMPLETE_REWRITE_CANDIDATE,0,0,pooling,cuDNN Resample,ResampleFwd/ResampleBwd,FULL_FIXED_API,whole,cuDNN resample directly supports regular average/max pooling,https://docs.nvidia.com/deeplearning/cudnn/latest/operations/Resampling.html,SINGLE_FIXED_CALL,DIRECT_VENDOR_API,public vendor API or vendor operation graph,yes,SELECTED_WRAPPERS_PRESENT,ALREADY_FOUND
aten_avg_pool2d_backward_cpu,aten/src/ATen/native/cpu/AvgPoolKernel.cpp,avg_pool2d_backward_kernel_impl,pass,2,0,cudnnAveragePool_f32_flat2,COMPLETE_REWRITE_CANDIDATE,0,0,pooling,cuDNN Resample,ResampleFwd/ResampleBwd,FULL_FIXED_API,whole,cuDNN resample directly supports regular average/max pooling,https://docs.nvidia.com/deeplearning/cudnn/latest/operations/Resampling.html,SINGLE_FIXED_CALL,DIRECT_VENDOR_API,public vendor API or vendor operation graph,yes,SELECTED_WRAPPERS_PRESENT,ALREADY_FOUND
aten_avg_pool2d_cpu,aten/src/ATen/native/cpu/AvgPoolKernel.cpp,avg_pool2d_kernel_impl,pass,4,4,,NONE,1,2,pooling,cuDNN Resample,ResampleFwd/ResampleBwd,FULL_FIXED_API,whole,cuDNN resample directly supports regular average/max pooling,https://docs.nvidia.com/deeplearning/cudnn/latest/operations/Resampling.html,SINGLE_FIXED_CALL,NO_IMPLEMENTATION,no emitted launch,no,SELECTED_WRAPPERS_PRESENT,RAISING_BLOCKS_WHOLE_OP_RECOGNITION
aten_avg_pool3d,aten/src/ATen/native/AveragePool3d.cpp,avg_pool3d,pass,2,0,cudnnAveragePool_f32_r5,COMPLETE_REWRITE_CANDIDATE,0,0,pooling,cuDNN Resample,ResampleFwd/ResampleBwd,FULL_FIXED_API,whole,cuDNN resample directly supports regular average/max pooling,https://docs.nvidia.com/deeplearning/cudnn/latest/operations/Resampling.html,SINGLE_FIXED_CALL,DIRECT_VENDOR_API,public vendor API or vendor operation graph,yes,SELECTED_WRAPPERS_PRESENT,ALREADY_FOUND
aten_avg_pool3d_backward_cpu,aten/src/ATen/native/cpu/AvgPoolKernel.cpp,avg_pool3d_backward_kernel_impl,pass,2,0,cudnnAveragePool_f32_flat2,COMPLETE_REWRITE_CANDIDATE,0,0,pooling,cuDNN Resample,ResampleFwd/ResampleBwd,FULL_FIXED_API,whole,cuDNN resample directly supports regular average/max pooling,https://docs.nvidia.com/deeplearning/cudnn/latest/operations/Resampling.html,SINGLE_FIXED_CALL,DIRECT_VENDOR_API,public vendor API or vendor operation graph,yes,SELECTED_WRAPPERS_PRESENT,ALREADY_FOUND
aten_avg_pool3d_cpu,aten/src/ATen/native/cpu/AvgPoolKernel.cpp,avg_pool3d_kernel_impl,pass,4,6,,NONE,1,3,pooling,cuDNN Resample,ResampleFwd/ResampleBwd,FULL_FIXED_API,whole,cuDNN resample directly supports regular average/max pooling,https://docs.nvidia.com/deeplearning/cudnn/latest/operations/Resampling.html,SINGLE_FIXED_CALL,NO_IMPLEMENTATION,no emitted launch,no,SELECTED_WRAPPERS_PRESENT,RAISING_BLOCKS_WHOLE_OP_RECOGNITION
aten_batch_norm,aten/src/ATen/native/cpu/batch_norm_kernel.cpp,batch_norm_cpu_kernel,pass,1,0,cudnnBatchNormalizationForwardInference,COMPLETE_REWRITE_CANDIDATE,0,0,normalization,cuDNN,NormalizationForward/Backward graph,FULL_GENERIC_API,whole,cuDNN normalization and graph pointwise/reduction nodes cover the operation,https://docs.nvidia.com/deeplearning/cudnn/latest/operations/operations.html,MULTI_NODE_LIBRARY_GRAPH,DIRECT_VENDOR_API,public vendor API or vendor operation graph,yes,SELECTED_WRAPPERS_PRESENT,ALREADY_FOUND
aten_batch_norm_backward_cpu,aten/src/ATen/native/cpu/batch_norm_kernel.cpp,batch_norm_cpu_backward_kernel,pass,2,2,,NONE,2,2,normalization,cuDNN,NormalizationForward/Backward graph,FULL_GENERIC_API,whole,cuDNN normalization and graph pointwise/reduction nodes cover the operation,https://docs.nvidia.com/deeplearning/cudnn/latest/operations/operations.html,MULTI_NODE_LIBRARY_GRAPH,NO_IMPLEMENTATION,no emitted launch,no,GENERAL_GRAPH_BACKEND_ABSENT,RAISING_BLOCKS_WHOLE_OP_RECOGNITION
aten_batch_norm_backward_template_cpu,aten/src/ATen/native/Normalization.cpp,batch_norm_backward_cpu_template,pass,4,3,,NONE,4,3,normalization,cuDNN,NormalizationForward/Backward graph,FULL_GENERIC_API,whole,cuDNN normalization and graph pointwise/reduction nodes cover the operation,https://docs.nvidia.com/deeplearning/cudnn/latest/operations/operations.html,MULTI_NODE_LIBRARY_GRAPH,NO_IMPLEMENTATION,no emitted launch,no,GENERAL_GRAPH_BACKEND_ABSENT,RAISING_BLOCKS_WHOLE_OP_RECOGNITION
aten_batch_norm_collect_stats_cpu,aten/src/ATen/native/cpu/batch_norm_kernel.cpp,batch_norm_cpu_collect_stats_kernel,pass,2,1,,NONE,2,1,normalization,cuDNN,NormalizationForward/Backward graph,FULL_GENERIC_API,whole,cuDNN normalization and graph pointwise/reduction nodes cover the operation,https://docs.nvidia.com/deeplearning/cudnn/latest/operations/operations.html,MULTI_NODE_LIBRARY_GRAPH,NO_IMPLEMENTATION,no emitted launch,no,GENERAL_GRAPH_BACKEND_ABSENT,RAISING_BLOCKS_WHOLE_OP_RECOGNITION
