source,classification,existing_fixtures,textual_loops,cpu_kernel_sites,dispatch_sites,tensor_iterator_mentions,lines,reason
aten/src/ATen/native/LegacyBatching.cpp,ACCOUNTED_NON_STANDALONE,,1,0,0,0,122,"all named iterative bodies are proven helper/composite, external delegation, non-numerical plumbing, or parser artifact"
aten/src/ATen/native/Lerp.cpp,DISPATCH_ONLY,,0,0,2,2,59,dispatch/registration wrapper with no local scalar loop body
aten/src/ATen/native/Linear.cpp,HAS_EXTRACTION,"aten_bilinear_cpu,aten_flatten_nd_linear_cpu,aten_sumproduct_pair_cpu,aten_trilinear_cpu",34,0,0,0,923,one or more standalone-C fixtures exist
aten/src/ATen/native/LinearAlgebra.cpp,HAS_EXTRACTION,"aten_addmm,aten_bmm,aten_int_mm_out_cpu,aten_kron_impl_cpu,aten_kron_out_cpu,aten_linalg_powsum_cpu,aten_mm,aten_outer,aten_vector_norm_out_cpu",27,0,14,3,3812,one or more standalone-C fixtures exist
aten/src/ATen/native/Loss.cpp,HAS_EXTRACTION,"aten_binary_cross_entropy,aten_l1_loss,aten_mse_loss",0,2,4,12,503,one or more standalone-C fixtures exist
aten/src/ATen/native/LossCTC.cpp,HAS_EXTRACTION,"aten_ctc_loss_backward_cpu,aten_ctc_loss_cpu",14,0,3,5,595,one or more standalone-C fixtures exist
aten/src/ATen/native/LossMultiLabelMargin.cpp,HAS_EXTRACTION,"aten_multilabel_margin_loss_backward_cpu,aten_multilabel_margin_loss_forward_cpu",11,0,2,0,329,one or more standalone-C fixtures exist
aten/src/ATen/native/LossMultiMargin.cpp,HAS_EXTRACTION,"aten_multi_margin_loss_backward_cpu,aten_multi_margin_loss_cpu",8,0,2,0,334,one or more standalone-C fixtures exist
aten/src/ATen/native/LossNLL.cpp,HAS_EXTRACTION,"aten_nll_loss_backward_cpu,aten_nll_loss_forward_cpu",5,0,4,0,756,one or more standalone-C fixtures exist
aten/src/ATen/native/LossNLL2d.cpp,HAS_EXTRACTION,"aten_nll_loss2d_backward_cpu,aten_nll_loss2d_forward_cpu",11,0,2,0,490,one or more standalone-C fixtures exist
aten/src/ATen/native/MaxPooling.cpp,NO_LOCAL_NUMERICAL_BODY,,0,0,0,0,93,no local loop or TensorIterator kernel body
aten/src/ATen/native/MaxUnpooling.cpp,ACCOUNTED_NON_STANDALONE,,2,0,0,0,227,"all named iterative bodies are proven helper/composite, external delegation, non-numerical plumbing, or parser artifact"
aten/src/ATen/native/Memory.cpp,NO_LOCAL_NUMERICAL_BODY,,0,0,0,0,75,no local loop or TensorIterator kernel body
aten/src/ATen/native/MetaTensor.cpp,NO_LOCAL_NUMERICAL_BODY,,0,0,0,0,43,no local loop or TensorIterator kernel body
aten/src/ATen/native/NNPACK.cpp,ACCOUNTED_NON_STANDALONE,,1,0,0,0,315,"all named iterative bodies are proven helper/composite, external delegation, non-numerical plumbing, or parser artifact"
aten/src/ATen/native/NaiveConvolutionTranspose2d.cpp,HAS_EXTRACTION,aten_conv_transpose2d,3,0,4,0,877,one or more standalone-C fixtures exist
aten/src/ATen/native/NaiveConvolutionTranspose3d.cpp,HAS_EXTRACTION,"aten_conv_transpose3d_backward_cpu,aten_conv_transpose3d_cpu,aten_conv_transpose3d_grad_weight_cpu",3,0,3,0,946,one or more standalone-C fixtures exist
aten/src/ATen/native/NaiveDilatedConvolution.cpp,HAS_EXTRACTION,aten_dilated_convolution_cpu,2,0,1,0,747,one or more standalone-C fixtures exist
aten/src/ATen/native/NegateFallback.cpp,NO_LOCAL_NUMERICAL_BODY,,0,0,0,0,50,no local loop or TensorIterator kernel body
aten/src/ATen/native/Normalization.cpp,HAS_EXTRACTION,"aten_batch_norm_backward_template_cpu,aten_batch_norm_cpu_entry,aten_batch_norm_stats_cpu,aten_batch_norm_transform_cpu",6,6,4,13,1030,one or more standalone-C fixtures exist
aten/src/ATen/native/Onehot.cpp,NO_LOCAL_NUMERICAL_BODY,,0,0,0,0,75,no local loop or TensorIterator kernel body
aten/src/ATen/native/PackedSequence.cpp,ACCOUNTED_NON_STANDALONE,,7,0,0,0,244,"all named iterative bodies are proven helper/composite, external delegation, non-numerical plumbing, or parser artifact"
aten/src/ATen/native/PadNd.cpp,HAS_EXTRACTION,"aten_circular_pad_cpu,aten_constant_pad_nd_cpu",8,0,0,0,271,one or more standalone-C fixtures exist
aten/src/ATen/native/PixelShuffle.cpp,HAS_EXTRACTION,aten_pixel_shuffle,0,0,0,0,160,one or more standalone-C fixtures exist
aten/src/ATen/native/PointwiseOps.cpp,DISPATCH_ONLY,,0,0,2,1,78,dispatch/registration wrapper with no local scalar loop body
aten/src/ATen/native/Pooling.cpp,HAS_EXTRACTION,aten_adaptive_max_pool1d_cpu,1,0,0,0,182,one or more standalone-C fixtures exist
aten/src/ATen/native/Pow.cpp,DISPATCH_ONLY,,0,0,3,1,138,dispatch/registration wrapper with no local scalar loop body
aten/src/ATen/native/QuantizedLinear.cpp,HAS_EXTRACTION,"aten_quant_col_offsets_cpu,aten_quant_saturation_cpu",4,0,0,0,636,one or more standalone-C fixtures exist
aten/src/ATen/native/RNN.cpp,ACCOUNTED_NON_STANDALONE,,19,0,0,0,2025,"all named iterative bodies are proven helper/composite, external delegation, non-numerical plumbing, or parser artifact"
aten/src/ATen/native/RangeFactories.cpp,HAS_EXTRACTION,"aten_logspace_cpu,aten_range_out_cpu",3,0,4,3,225,one or more standalone-C fixtures exist
aten/src/ATen/native/ReduceAllOps.cpp,NO_LOCAL_NUMERICAL_BODY,,0,0,0,0,76,no local loop or TensorIterator kernel body
aten/src/ATen/native/ReduceOps.cpp,HAS_EXTRACTION,"aten_allany_dims_cpu,aten_cummax_cummin_cpu,aten_cumprod_backward_cpu,aten_diff_cpu,aten_equal_cpu,aten_gradient_cpu,aten_gradient_float_cpu,aten_mean,aten_std_var_all_cpu,aten_sum,aten_trace_cpu",18,0,25,13,2360,one or more standalone-C fixtures exist
aten/src/ATen/native/ReflectionPad.cpp,HAS_EXTRACTION,aten_reflection_pad2d,0,0,4,0,404,one or more standalone-C fixtures exist
aten/src/ATen/native/Repeat.cpp,HAS_EXTRACTION,aten_repeat_compute_cpu,2,0,1,0,143,one or more standalone-C fixtures exist
aten/src/ATen/native/ReplicationPadding.cpp,HAS_EXTRACTION,aten_replication_pad2d,0,0,4,0,376,one or more standalone-C fixtures exist
aten/src/ATen/native/Resize.cpp,NO_LOCAL_NUMERICAL_BODY,,0,0,0,0,314,no local loop or TensorIterator kernel body
aten/src/ATen/native/RowwisePrune.cpp,HAS_EXTRACTION,aten_rowwise_prune_cpu,2,0,1,0,115,one or more standalone-C fixtures exist
aten/src/ATen/native/Scalar.cpp,DISPATCH_ONLY,,0,0,1,0,60,dispatch/registration wrapper with no local scalar loop body
aten/src/ATen/native/ScaledBlas.cpp,HAS_EXTRACTION,aten_joint_scaling_cpu,1,0,2,0,531,one or more standalone-C fixtures exist
aten/src/ATen/native/ScaledBlasUtils.cpp,NO_LOCAL_NUMERICAL_BODY,,0,0,0,0,518,no local loop or TensorIterator kernel body
aten/src/ATen/native/SegmentReduce.cpp,HAS_EXTRACTION,"aten_segment_reduce_lengths_backward_cpu,aten_segment_reduce_lengths_cpu",17,0,6,1,520,one or more standalone-C fixtures exist
aten/src/ATen/native/ShallowCopyData.cpp,NO_LOCAL_NUMERICAL_BODY,,0,0,0,0,64,no local loop or TensorIterator kernel body
aten/src/ATen/native/SobolEngineOps.cpp,HAS_EXTRACTION,"aten_sobol_draw_cpu,aten_sobol_fast_forward_cpu,aten_sobol_initialize_cpu,aten_sobol_scramble_cpu",13,0,1,0,189,one or more standalone-C fixtures exist
aten/src/ATen/native/SobolEngineOpsUtils.cpp,NO_LOCAL_NUMERICAL_BODY,,0,0,0,0,42459,no local loop or TensorIterator kernel body
aten/src/ATen/native/SoftMax.cpp,HAS_EXTRACTION,"aten_host_softmax_backward_cpu,aten_host_softmax_cpu",11,0,6,1,613,one or more standalone-C fixtures exist
aten/src/ATen/native/Sorting.cpp,HAS_EXTRACTION,"aten_kthvalue_cpu,aten_median_indices_cpu,aten_quick_select_cpu",7,0,5,3,956,one or more standalone-C fixtures exist
aten/src/ATen/native/SparseTensorUtils.cpp,HAS_EXTRACTION,"aten_sparse_coo_to_csr_cpu,aten_sparse_flatten_indices_cpu,aten_sparse_full_coo_indices_cpu",5,0,0,0,143,one or more standalone-C fixtures exist
aten/src/ATen/native/SpectralOps.cpp,HAS_EXTRACTION,"aten_as_complex_cpu,aten_fft_conjugate_symmetry_cpu,aten_fftshift_cpu,aten_ifftshift_cpu",11,0,0,6,1322,one or more standalone-C fixtures exist
aten/src/ATen/native/SummaryOps.cpp,HAS_EXTRACTION,aten_bincount_cpu,2,0,1,0,98,one or more standalone-C fixtures exist
aten/src/ATen/native/TensorAdvancedIndexing.cpp,HAS_EXTRACTION,"aten_count_nonzero_cpu,aten_count_nonzero_impl_cpu,aten_index_put_impl_cpu,aten_index_reduce_impl_cpu,aten_index_select_dim1_cpu,aten_index_select_out_cpu,aten_masked_scatter_backward_cpu,aten_nonzero_out_cpu,aten_unsafe_index_cpu",44,0,30,37,3158,one or more standalone-C fixtures exist
aten/src/ATen/native/TensorCompare.cpp,HAS_EXTRACTION,aten_clamp,1,0,15,2,1008,one or more standalone-C fixtures exist
aten/src/ATen/native/TensorConversions.cpp,HAS_EXTRACTION,"aten_compressed_block_convert_cpu,aten_convert_coo_to_csr_cpu,aten_convert_csr_to_coo_cpu",17,0,11,0,2511,one or more standalone-C fixtures exist
aten/src/ATen/native/TensorFactories.cpp,HAS_EXTRACTION,"aten_eye_cpu,aten_randperm_cpu,aten_tril_indices_cpu,aten_triu_indices_cpu,aten_zeros_cpu",9,0,5,3,2277,one or more standalone-C fixtures exist
aten/src/ATen/native/TensorIteratorReduce.cpp,ACCOUNTED_NON_STANDALONE,,3,0,0,19,195,"all named iterative bodies are proven helper/composite, external delegation, non-numerical plumbing, or parser artifact"
aten/src/ATen/native/TensorProperties.cpp,ACCOUNTED_NON_STANDALONE,,1,0,0,0,163,"all named iterative bodies are proven helper/composite, external delegation, non-numerical plumbing, or parser artifact"
aten/src/ATen/native/TensorShape.cpp,HAS_EXTRACTION,"aten_block_diag_cpu,aten_cat_sparse_cpu,aten_copy_tensor_array_cpu,aten_fast_cat_dim0_cpu,aten_index_select_sparse_cpu,aten_narrow_copy_dense_cpu,aten_permute_sparse_coo_cpu,aten_repeat_tensor_shape_cpu,aten_split_copy_cpu,aten_transpose_copy,aten_unbind_copy_cpu",68,0,5,3,4890,one or more standalone-C fixtures exist
aten/src/ATen/native/TensorTransformations.cpp,HAS_EXTRACTION,aten_flip_tensor_transform_cpu,2,0,0,2,258,one or more standalone-C fixtures exist
aten/src/ATen/native/TestOps.cpp,ACCOUNTED_NON_STANDALONE,,2,0,0,0,142,"all named iterative bodies are proven helper/composite, external delegation, non-numerical plumbing, or parser artifact"
aten/src/ATen/native/TriangularOps.cpp,HAS_EXTRACTION,"aten_triu_tril_batch_cpu,aten_triu_tril_single_cpu",7,0,3,0,202,one or more standalone-C fixtures exist
aten/src/ATen/native/TypeProperties.cpp,ACCOUNTED_NON_STANDALONE,,1,0,0,0,191,"all named iterative bodies are proven helper/composite, external delegation, non-numerical plumbing, or parser artifact"
aten/src/ATen/native/UnaryOps.cpp,DISPATCH_ONLY,,0,0,6,12,1044,dispatch/registration wrapper with no local scalar loop body
aten/src/ATen/native/Unfold2d.cpp,NO_LOCAL_NUMERICAL_BODY,,0,0,0,0,9,no local loop or TensorIterator kernel body
aten/src/ATen/native/Unfold3d.cpp,HAS_EXTRACTION,"aten_unfold3d_acc_cpu,aten_unfold3d_copy_cpu,aten_unfold3d_zero_acc_cpu,aten_unfold3d_zero_copy_cpu",27,0,2,0,531,one or more standalone-C fixtures exist
aten/src/ATen/native/UnfoldBackward.cpp,NO_LOCAL_NUMERICAL_BODY,,0,0,0,0,42,no local loop or TensorIterator kernel body
aten/src/ATen/native/Unique.cpp,HAS_EXTRACTION,"aten_unique_bool_cpu,aten_unique_consecutive_cpu,aten_unique_dim_impl_cpu,aten_unique_dim_template_cpu,aten_unique_sorted_cpu",10,0,5,1,501,one or more standalone-C fixtures exist
aten/src/ATen/native/UpSample.cpp,ACCOUNTED_NON_STANDALONE,,1,0,0,0,33,"all named iterative bodies are proven helper/composite, external delegation, non-numerical plumbing, or parser artifact"
aten/src/ATen/native/UpSampleBicubic2d.cpp,HAS_EXTRACTION,aten_upsample_bicubic2d_backward_cpu,7,0,5,0,303,one or more standalone-C fixtures exist
aten/src/ATen/native/UpSampleBilinear2d.cpp,HAS_EXTRACTION,aten_upsample_bilinear2d,2,0,4,0,187,one or more standalone-C fixtures exist
aten/src/ATen/native/UpSampleLanczos2d.cpp,ACCOUNTED_NON_STANDALONE,,1,0,2,0,102,loop validates scale factors; resampling arithmetic is in extracted dispatch kernels
aten/src/ATen/native/UpSampleLinear1d.cpp,DISPATCH_ONLY,,0,0,2,0,104,dispatch/registration wrapper with no local scalar loop body
aten/src/ATen/native/UpSampleNearest1d.cpp,DISPATCH_ONLY,,0,0,4,0,148,dispatch/registration wrapper with no local scalar loop body
aten/src/ATen/native/UpSampleNearest2d.cpp,HAS_EXTRACTION,aten_upsample_nearest2d,2,0,4,0,174,one or more standalone-C fixtures exist
aten/src/ATen/native/UpSampleNearest3d.cpp,ACCOUNTED_NON_STANDALONE,,2,0,4,0,191,loops validate five-dimensional shape/scale metadata; arithmetic is dispatched
aten/src/ATen/native/UpSampleTrilinear3d.cpp,ACCOUNTED_NON_STANDALONE,,1,0,2,0,116,loop validates five-dimensional scale metadata; arithmetic is dispatched
aten/src/ATen/native/VariableMethodStubs.cpp,NO_LOCAL_NUMERICAL_BODY,,0,0,0,0,75,no local loop or TensorIterator kernel body
aten/src/ATen/native/WeightNorm.cpp,NO_LOCAL_NUMERICAL_BODY,,0,0,0,0,159,no local loop or TensorIterator kernel body
aten/src/ATen/native/cpu/Activation.cpp,HAS_EXTRACTION,"aten_elu,aten_elu_backward,aten_gelu_backward_cpu_exact,aten_gelu_backward_cpu_tanh,aten_gelu_cpu_exact,aten_gelu_cpu_tanh,aten_glu,aten_glu_backward,aten_glu_jvp,aten_hardshrink,aten_hardsigmoid,aten_hardsigmoid_backward,aten_hardswish,aten_hardswish_backward,aten_hardtanh_backward,aten_leaky_relu,aten_log_sigmoid_backward_cpu,aten_log_sigmoid_cpu,aten_mish,aten_mish_backward,aten_shrink_backward,aten_silu_backward,aten_silu_cpu,aten_softplus,aten_softplus_backward,aten_softshrink,aten_threshold_backward",2,51,65,28,1344,one or more standalone-C fixtures exist
aten/src/ATen/native/cpu/AdaptiveAvgPoolKernel.cpp,HAS_EXTRACTION,"aten_adaptive_avg_pool2d_backward_cpu,aten_adaptive_avg_pool2d_cpu,aten_adaptive_avg_pool3d_backward_cpu,aten_adaptive_avg_pool3d_cpu",78,0,12,0,862,one or more standalone-C fixtures exist
aten/src/ATen/native/cpu/AdaptiveMaxPoolKernel.cpp,HAS_EXTRACTION,"aten_adaptive_max_pool2d_backward_cpu,aten_adaptive_max_pool2d_cpu,aten_adaptive_max_pool3d_backward_cpu,aten_adaptive_max_pool3d_cpu",62,0,12,0,988,one or more standalone-C fixtures exist
aten/src/ATen/native/cpu/AmpGradScalerKernels.cpp,HAS_EXTRACTION,"aten_amp_update_scale_cpu,aten_masked_scale",1,2,4,2,198,one or more standalone-C fixtures exist
aten/src/ATen/native/cpu/AvgPoolKernel.cpp,HAS_EXTRACTION,"aten_avg_pool2d_backward_cpu,aten_avg_pool2d_cpu,aten_avg_pool3d_backward_cpu,aten_avg_pool3d_cpu",75,0,12,0,1138,one or more standalone-C fixtures exist
aten/src/ATen/native/cpu/BinaryOpsKernel.cpp,HAS_EXTRACTION,"aten_add_clamp,aten_atan2,aten_bitwise_and_i32,aten_bitwise_or_i32,aten_bitwise_xor_i32,aten_chebyshev_polynomial_t,aten_chebyshev_polynomial_u,aten_chebyshev_polynomial_v,aten_chebyshev_polynomial_w,aten_copysign,aten_div,aten_div_floor,aten_div_trunc,aten_eq,aten_fmax,aten_fmin,aten_fmod,aten_gcd_i32,aten_ge,aten_gt,aten_heaviside,aten_hermite_polynomial_h,aten_hermite_polynomial_he,aten_huber_elementwise,aten_hypot,aten_igamma,aten_igammac,aten_laguerre_polynomial_l,aten_lcm_i32,aten_ldexp,aten_le,aten_legendre_polynomial_p,aten_logaddexp,aten_logaddexp2,aten_logical_and,aten_logical_or,aten_logical_xor,aten_logit_backward,aten_lshift_i32,aten_lt,aten_maximum,aten_minimum,aten_mse_elementwise,aten_mul,aten_ne,aten_nextafter,aten_remainder,aten_rshift_i32,aten_sigmoid_backward,aten_smooth_l1_elementwise,aten_tanh_backward,aten_xlog1py,aten_xlogy,aten_zeta",0,96,135,71,1516,one or more standalone-C fixtures exist
aten/src/ATen/native/cpu/BlasKernel.cpp,HAS_EXTRACTION,"aten_blas_axpy_cpu,aten_blas_copy_cpu,aten_blas_scale_cpu,aten_blas_sum_cpu,aten_gemm_notrans_cpu,aten_gemm_transa_cpu,aten_gemm_transab_cpu,aten_gemm_transb_cpu",38,0,8,0,561,one or more standalone-C fixtures exist
aten/src/ATen/native/cpu/CatKernel.cpp,HAS_EXTRACTION,aten_cat_serial_cpu,5,0,2,0,83,one or more standalone-C fixtures exist
aten/src/ATen/native/cpu/ChannelShuffleKernel.cpp,HAS_EXTRACTION,aten_channel_shuffle_cpu,4,0,3,0,116,one or more standalone-C fixtures exist
aten/src/ATen/native/cpu/ComplexKernel.cpp,HAS_EXTRACTION,"aten_complex_scalarized,aten_polar_scalarized",0,2,3,3,31,one or more standalone-C fixtures exist
aten/src/ATen/native/cpu/CopyKernel.cpp,HAS_EXTRACTION,aten_copy_cpu,6,8,11,9,330,one or more standalone-C fixtures exist
aten/src/ATen/native/cpu/CrossKernel.cpp,HAS_EXTRACTION,aten_cross_cpu_backend,3,0,2,1,81,one or more standalone-C fixtures exist
aten/src/ATen/native/cpu/DepthwiseConvKernel.cpp,HAS_EXTRACTION,aten_depthwise_conv3x3_cpu,23,0,0,0,546,one or more standalone-C fixtures exist
