kernel,fixture_op,comparability,legal_ratio,semantic_note
aten_conv_transpose3d_backward_cpu,conv_transpose3d,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe calls forward conv_transpose3d rather than backward
aten_conv_transpose3d_cpu,conv_transpose3d,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_conv_transpose3d_grad_weight_cpu,conv_transpose3d_grad_weight,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe calls forward conv_transpose3d rather than weight-gradient
aten_convert_coo_to_csr_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_convert_csr_to_coo_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_copy_cpu,copy,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_copy_tensor_array_cpu,copy_tensor_array,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_cpu_blas_gemm_batched_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_cpu_blas_gemm_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_cpu_blas_gemm_strided_batched_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_cross,cross,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_cross_cpu_backend,cross,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_depthwise_conv3x3_cpu,depthwise_conv3x3,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe omits the fixture channel bias
aten_diff_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_dilated_convolution_cpu,dilated_convolution,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe adds padding and produces a different output shape
aten_dirichlet_grad_cpu,dirichlet_grad,RNG_OR_FORMULA_SCOPE_MISMATCH,no,recipe and fixture disagree on random generation versus transform scope or on the implemented distribution formula
aten_div_trunc,trunc,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe calls unary trunc rather than truncating binary division
aten_dropout_feature_noise_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_embedding_bag_counts_cpu,embedding_bag_counts,CURRENT_RECIPE_NOT_EQUIVALENT,no,bincount uses different index/output types and omits internal-stage context
aten_equal_cpu,equal,EXACT_BENCHMARK_DOMAIN,yes,audited for generated finite inputs; NaN/corner semantics are excluded from this fixed benchmark instance
aten_expm1,expm1,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_exponential_cpu,exponential,RNG_OR_FORMULA_SCOPE_MISMATCH,no,recipe and fixture disagree on random generation versus transform scope or on the implemented distribution formula
aten_fast_cat_dim0_cpu,fast_cat_dim0,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_flatten_nd_linear_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_flip_tensor_transform_cpu,flip,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_fmax,fmax,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_fmin,fmin,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_fmod,fmod,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_fp16_dot_cpu,fp16_dot,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_fp16_gemv_f16arith_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_fp16_gemv_f32arith_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_fp16_gemv_notrans_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_fp16_gemv_trans_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_gamma_transform_cpu,gamma,RNG_OR_FORMULA_SCOPE_MISMATCH,no,recipe and fixture disagree on random generation versus transform scope or on the implemented distribution formula
aten_gelu_backward_cpu_exact,gelu_backward_cpu_exact,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_gelu_backward_cpu_tanh,gelu_backward_cpu_tanh,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_gelu_cpu_tanh,gelu_cpu_tanh,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_gemm_notrans_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_gemm_transa_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_gemm_transab_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_gemm_transb_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_geometric_cpu,geometric,RNG_OR_FORMULA_SCOPE_MISMATCH,no,recipe and fixture disagree on random generation versus transform scope or on the implemented distribution formula
aten_glu,glu,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe layout produces half as many outputs as the fixture
aten_glu_backward,glu,CURRENT_RECIPE_NOT_EQUIVALENT,no,"fixture is one precomputed-sigmoid component, not full GLU backward"
aten_glu_jvp,glu_jvp,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe recomputes a forward result that the fixture receives as input
aten_gradient_cpu,gradient,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe spacing 1 differs from fixture h=0.125
aten_gradient_float_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_hardshrink,hardshrink,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe lambda 0.5 differs from fixture 0.35
aten_hardsigmoid,hardsigmoid,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_hardsigmoid_backward,hardsigmoid,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_hardtanh,hardtanh,CURRENT_RECIPE_NOT_EQUIVALENT,no,"recipe bounds -1,1 differ from fixture 0.5,0.5"
aten_hardtanh_backward,hardtanh,CURRENT_RECIPE_NOT_EQUIVALENT,no,"recipe bounds -1,1 differ from fixture -0.7,0.8"
aten_histogram_select_outer_bin_edges_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_hspmm_cpu,hspmm,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe is CSR SpMV; fixture is COO sparse by dense-matrix
aten_huber_backward,huber,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe times forward Huber loss rather than backward
aten_huber_elementwise,huber_elementwise,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe delta 1 differs from fixture 0.6
aten_int_mm_out_cpu,int_mm,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_joint_scaling_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_kron_impl_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_kron_out_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_lerp,lerp,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe uses scalar weight; fixture uses tensor weights
aten_lerp_scalar,lerp_scalar,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe weight 0.375 differs from fixture 0.3
aten_lerp_scalar_cpu,lerp_scalar,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe weight 0.375 differs from fixture 0.3
aten_lerp_tensor_cpu,lerp_tensor,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_linear_combination_cpu,linear_combination,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe combines three arrays; fixture combines four
aten_log10,log10,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_log1p,log1p,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_log2,log2,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_log_normal_cpu,log_normal,RNG_OR_FORMULA_SCOPE_MISMATCH,no,recipe and fixture disagree on random generation versus transform scope or on the implemented distribution formula
aten_log_sigmoid_backward_cpu,log_sigmoid,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_log_sigmoid_cpu,log_sigmoid,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe omits the fixture buffer output
aten_logit,logit,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe omits fixture eps=0.5
aten_logit_backward,logit,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe eps=1e-6 differs from fixture 0.5
aten_masked_scale,masked_scale,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe adds a mask and uses 0.75; fixture is unmasked x*0.5
aten_max_all_cpu,max_all,EXACT_BENCHMARK_DOMAIN,yes,audited for generated finite inputs; NaN/corner semantics are excluded from this fixed benchmark instance
aten_max_reduce_cpu,max_reduce,EXACT_BENCHMARK_DOMAIN,yes,audited for generated finite inputs; NaN/corner semantics are excluded from this fixed benchmark instance
aten_max_values_cpu,max_values,EXACT_BENCHMARK_DOMAIN,yes,audited for generated finite inputs; NaN/corner semantics are excluded from this fixed benchmark instance
aten_maximum,maximum,EXACT_BENCHMARK_DOMAIN,yes,audited for generated finite inputs; NaN/corner semantics are excluded from this fixed benchmark instance
aten_min_all_cpu,min_all,EXACT_BENCHMARK_DOMAIN,yes,audited for generated finite inputs; NaN/corner semantics are excluded from this fixed benchmark instance
aten_min_reduce_cpu,min_reduce,EXACT_BENCHMARK_DOMAIN,yes,audited for generated finite inputs; NaN/corner semantics are excluded from this fixed benchmark instance
aten_min_values_cpu,min_values,EXACT_BENCHMARK_DOMAIN,yes,audited for generated finite inputs; NaN/corner semantics are excluded from this fixed benchmark instance
aten_minimum,minimum,EXACT_BENCHMARK_DOMAIN,yes,audited for generated finite inputs; NaN/corner semantics are excluded from this fixed benchmark instance
aten_mse_backward,mse,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe has elementwise grad/normalization; fixture has one scalar multiplier
aten_mse_elementwise,mse,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_nansum_cpu,nansum,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_narrow_copy_dense_cpu,narrow_copy_dense,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe narrows the wrong dimension and extent
aten_nested_all_cpu,nested_all,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_nested_batch_offsets_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_nested_bmm_cpu,nested_bmm,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_nested_clone_cpu,nested_clone,LAYOUT_OR_STORAGE_PROXY,no,"recipe measures related dense/complex value arithmetic but layout, materialization, or container semantics differ"
aten_nested_matmul_broadcast_cpu,nested_matmul_broadcast,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe is bilinear; fixture is broadcast batched matmul
aten_nested_squeeze_cpu,nested_squeeze,LAYOUT_OR_STORAGE_PROXY,no,"recipe measures related dense/complex value arithmetic but layout, materialization, or container semantics differ"
aten_nested_sum_dim_cpu,nested_sum_dim,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_normal_cpu,log_normal,RNG_OR_FORMULA_SCOPE_MISMATCH,no,recipe and fixture disagree on random generation versus transform scope or on the implemented distribution formula
aten_or_reduce_cpu,or_reduce,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe returns bool from float predicates; fixture reduces int32 to int32
aten_pixel_shuffle,pixel_shuffle,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_pixel_shuffle_cpu_backend,pixel_shuffle_cpu_backend,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_pixel_unshuffle_cpu_backend,pixel_unshuffle_cpu_backend,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_polar_scalarized,polar,LAYOUT_OR_STORAGE_PROXY,no,"recipe measures related dense/complex value arithmetic but layout, materialization, or container semantics differ"
aten_prod,prod,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_quant_col_offsets_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_renorm_scale_factor,renorm_scale_factor,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe hardcodes maxnorm 1; fixture uses 0.5
aten_repeat_compute_cpu,repeat_compute,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_repeat_tensor_shape_cpu,repeat_tensor_shape,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_round,round,CURRENT_RECIPE_NOT_EQUIVALENT,no,C roundf ties away from zero; torch.round ties to even
aten_round_decimals,round,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe is plain round; fixture computes round(x*0.5)/0.5
aten_shrink_backward,shrink,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe lambda 0.5 differs from fixture 0.35
aten_slow_conv3d_backward_input_cpu,slow_conv3d_backward_input,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_slow_conv3d_backward_weight_cpu,slow_conv3d_backward_weight,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_slow_conv3d_forward_cpu,slow_conv3d,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_smooth_l1_backward,smooth_l1,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe uses elementwise grad and beta=1; fixture uses scalar norm and beta=0.6
aten_smooth_l1_elementwise,smooth_l1,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe beta 1 differs from fixture 0.6
aten_softshrink,softshrink,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe lambda 0.5 differs from fixture 0.35
aten_sparse_addmv_bsr_cpu,sparse_addmv_bsr,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe constructs CSR rather than block-sparse BSR
aten_sparse_addmv_csr_cpu,sparse_addmv_csr,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe omits the addend/full addmv contract
aten_sparse_bmm_cpu,sparse_bmm,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_sparse_coo_to_csr_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_sparse_intersection_apply_cpu,sparse_intersection_apply,LAYOUT_OR_STORAGE_PROXY,no,"recipe measures related dense/complex value arithmetic but layout, materialization, or container semantics differ"
aten_sparse_intersection_launch_cpu,sparse_intersection_launch,LAYOUT_OR_STORAGE_PROXY,no,"recipe measures related dense/complex value arithmetic but layout, materialization, or container semantics differ"
aten_sparse_matmul_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_sparse_matmul_csr_to_coo_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_sparse_norm_cpu,sparse_norm,LAYOUT_OR_STORAGE_PROXY,no,"recipe measures related dense/complex value arithmetic but layout, materialization, or container semantics differ"
aten_sspaddmm_cpu,sspaddmm,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe is CSR SpMV; fixture is COO sparse by dense-matrix
aten_stack_serial_cpu,stack_serial,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe stacks vectors; fixture transposes and stacks matrices
aten_standard_gamma_grad_cpu,standard_gamma_grad,RNG_OR_FORMULA_SCOPE_MISMATCH,no,recipe and fixture disagree on random generation versus transform scope or on the implemented distribution formula
aten_sum_cpu_backend,sum_cpu_backend,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_sumproduct_pair_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_threshold_backward,threshold,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe threshold 0 differs from fixture 0.35
aten_trace_cpu,trace,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_transform_bias_rescale_qkv_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_transpose_copy,transpose_copy,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_trilinear_cpu,trilinear,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe calls bilinear; fixture is a three-input contraction
aten_trunc,trunc,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_unbind_copy_cpu,unbind_copy,LAYOUT_OR_STORAGE_PROXY,no,"recipe measures related dense/complex value arithmetic but layout, materialization, or container semantics differ"
aten_unfolded2d_copy_cpu,unfolded2d_copy,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_uniform_cpu,uniform,RNG_OR_FORMULA_SCOPE_MISMATCH,no,recipe and fixture disagree on random generation versus transform scope or on the implemented distribution formula
aten_upsample_bilinear2d,upsample_bilinear2d,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe geometry/coordinate convention differs from fixture
aten_xor_sum_cpu,xor_sum,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe uses logical any; fixture uses integer XOR
aten_zeros_cpu,zeros,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
