kernel,category,source,dataset,datatype,source_sha256,native_cpu_status,raise_status,matcher_status,residual_cpu_status,cpu_library_status,raised_gpu_status,polybenchgpu_status,kernelfarer_status,polly_status,modified_source,overall_status,failure_reason,log_dir,ir_dir
durbin,linear-algebra/solvers,tools/cgeist/Test/polybench/linear-algebra/solvers/durbin/durbin.c,LARGE,double,fc5dab044433e90b36ce058eb3859772915dac01dba0b9bb0bcdb195044ca108,pass,pass,no_match,pass,unavailable,unavailable,unavailable,not_applicable,not_applicable,false,partial,generic affine-view lowering and residual correctness pass; no external-library match,logs/durbin,ir/durbin
fdtd-2d,stencils,tools/cgeist/Test/polybench/stencils/fdtd-2d/fdtd-2d.c,LARGE,double,ee04ada98f9d6a80bb3cc060223150240570d267f0ffda25cd8cba37ab0878e4,pass,pass,no_match,pass,unavailable,unavailable,pass,not_applicable,not_applicable,true,partial,residual and normalized PolyBenchGPU pass; no eligible raised external-library match,logs/fdtd-2d,ir/fdtd-2d
floyd-warshall,medley,tools/cgeist/Test/polybench/medley/floyd-warshall/floyd-warshall.c,LARGE,double,6c1e9a1fa8602a6b7d726e5dd0b4f1a5db79f1358b40d5cbd4cfb0f15ae75b9b,pass,pass,no_match,pass,unavailable,unavailable,unavailable,not_applicable,not_applicable,false,partial,residual correctness passes; no eligible external-library match or canonical native-GPU adapter,logs/floyd-warshall,ir/floyd-warshall
gemm,linear-algebra/blas,tools/cgeist/Test/polybench/linear-algebra/blas/gemm/gemm.c,LARGE,double,1a3b5a3190c8267deb3ef8b821359309596dcf7321ec9943e82ba64db4a8c75f,pass,pass,pass,pass,pass,pass,pass,unavailable,pass,true,partial,fresh Orin native CPU raised OpenBLAS raised cuBLAS and normalized PolyBenchGPU paths pass; KernelFaRer unavailable,logs/gemm,ir/gemm
gemver,linear-algebra/blas,tools/cgeist/Test/polybench/linear-algebra/blas/gemver/gemver.c,LARGE,double,e7e367cdd0bf698f4c706d93d16fa1c0c5568cd1e7e64aaee5698f133cbfb11a,pass,pass,pass,pass,pass,pass,pass,not_applicable,not_applicable,true,partial,CPU library and canonical PolyBenchGPU pass; raised cuBLAS output is wrong,logs/gemver,ir/gemver
gesummv,linear-algebra/blas,tools/cgeist/Test/polybench/linear-algebra/blas/gesummv/gesummv.c,LARGE,double,46493c405f7d8382ebc08d11bb44747b2c7cb7d89139973d19e4e7605d90b7e2,pass,pass,pass,pass,pass,pass,pass,not_applicable,not_applicable,true,partial,CPU library and canonical PolyBenchGPU pass; raised CUDA path has an illegal memory access,logs/gesummv,ir/gesummv
gramschmidt,linear-algebra/solvers,tools/cgeist/Test/polybench/linear-algebra/solvers/gramschmidt/gramschmidt.c,LARGE,double,d9fc5e2ae24a537bfcb0cdabe7c6e38375e735a788240c8c23c354c755b1efdb,pass,pass,pass,pass,fail,fail,fail,not_applicable,not_applicable,false,partial,whole MGS BLAS composition and native PolyBenchGPU fail LARGE numerical correctness,logs/gramschmidt,ir/gramschmidt
heat-3d,stencils,tools/cgeist/Test/polybench/stencils/heat-3d/heat-3d.c,LARGE,double,d58de45f34dcad61c54901ced2be44c464bf88787b23fcef8243f3049b54fab2,pass,pass,no_match,pass,unavailable,unavailable,unavailable,not_applicable,not_applicable,false,partial,residual correctness passes; no eligible external-library match or canonical native-GPU adapter,logs/heat-3d,ir/heat-3d
jacobi-1d,stencils,tools/cgeist/Test/polybench/stencils/jacobi-1d/jacobi-1d.c,LARGE,double,c80f3f780bba304ef78043f50fd552074cc8eb65922a6726a6f7e7dfb32fd46d,pass,pass,no_match,pass,unavailable,unavailable,unavailable,not_applicable,not_applicable,false,partial,residual passes; PolyBenchGPU replaces the canonical second stencil with a copy and is not equivalent,logs/jacobi-1d,ir/jacobi-1d
jacobi-2d,stencils,tools/cgeist/Test/polybench/stencils/jacobi-2d/jacobi-2d.c,LARGE,double,b466ab4a9b0249da7b7f557a7faa6ad254f539d933b9848e224d84c194eba525,pass,pass,no_match,pass,unavailable,unavailable,unavailable,not_applicable,not_applicable,false,partial,residual passes; PolyBenchGPU replaces the canonical second stencil with a copy and is not equivalent,logs/jacobi-2d,ir/jacobi-2d
lu,linear-algebra/solvers,tools/cgeist/Test/polybench/linear-algebra/solvers/lu/lu.c,LARGE,double,ea0b218ca21b66b2c69d5cdede07316d826c0423bfde3a8b6b6b601c2b719b3b,pass,pass,no_match,pass,unavailable,unavailable,unavailable,not_applicable,not_applicable,false,partial,allocation-free loop-lowered residual passes and is timed; no external-library match,logs/lu,ir/lu
ludcmp,linear-algebra/solvers,tools/cgeist/Test/polybench/linear-algebra/solvers/ludcmp/ludcmp.c,LARGE,double,29af9ff545bec5f4a98fefbf74b353fc9ba11c1077a3beb61d7e74977104be84,pass,pass,no_match,pass,unavailable,unavailable,unavailable,not_applicable,not_applicable,false,partial,generic affine-view lowering and residual correctness pass; no external-library match,logs/ludcmp,ir/ludcmp
mvt,linear-algebra/kernels,tools/cgeist/Test/polybench/linear-algebra/kernels/mvt/mvt.c,LARGE,double,ee5d97f3e6acfcd655a3caa25bf58e382a38c4e5a259c743e373358407607a0e,pass,pass,pass,pass,pass,pass,pass,not_applicable,not_applicable,true,partial,CPU library passes; raised CUDA path has an illegal memory access,logs/mvt,ir/mvt
nussinov,medley,tools/cgeist/Test/polybench/medley/nussinov/nussinov.c,LARGE,double,9fe26d826be63e3e779ef43f79a4272fe5e6d027795375cee41995395de7e57a,pass,pass,no_match,pass,unavailable,unavailable,unavailable,not_applicable,not_applicable,false,partial,generic affine-view lowering and residual correctness pass; no external-library match,logs/nussinov,ir/nussinov
seidel-2d,stencils,tools/cgeist/Test/polybench/stencils/seidel-2d/seidel-2d.c,LARGE,double,c553668f9dc36670e90eddc95a22b2d052d93cc1fded69dd21990e22b7371235,pass,pass,no_match,pass,unavailable,unavailable,unavailable,not_applicable,not_applicable,false,partial,generic affine-view lowering and residual correctness pass; no external-library match,logs/seidel-2d,ir/seidel-2d
symm,linear-algebra/blas,tools/cgeist/Test/polybench/linear-algebra/blas/symm/symm.c,LARGE,double,f76b5f905d3d97d01aebf4ff63a4dcee3ddf34df6d49d9d9e054678a8f058cf3,pass,pass,pass,pass,pass,pass,unavailable,not_applicable,not_applicable,false,partial,OpenBLAS DSYMM and equivalent raised cuBLAS DSYMV composition pass,logs/symm,ir/symm
syr2k,linear-algebra/blas,tools/cgeist/Test/polybench/linear-algebra/blas/syr2k/syr2k.c,LARGE,double,ec6c0f2cafc8000445be94b28e182e1671097e4105a92e2396155408d0cdcee1,pass,pass,pass,pass,pass,pass,pass,unavailable,pass,true,partial,OpenBLAS and raised cuBLAS pass the canonical lower-triangle contract,logs/syr2k,ir/syr2k
syrk,linear-algebra/blas,tools/cgeist/Test/polybench/linear-algebra/blas/syrk/syrk.c,LARGE,double,756e0f2b3d78bffdafd5e3bf984f712eb680afa0d5eeb032e0b84d41dad2cf96,pass,pass,pass,pass,pass,pass,pass,not_applicable,not_applicable,true,partial,OpenBLAS and raised cuBLAS pass the canonical lower-triangle contract,logs/syrk,ir/syrk
trisolv,linear-algebra/solvers,tools/cgeist/Test/polybench/linear-algebra/solvers/trisolv/trisolv.c,LARGE,double,b633a2e59fa37cdc02819ac0d070fc152b7aba9f47586cf452530942c0c7a683,pass,pass,pass,pass,pass,pass,unavailable,not_applicable,not_applicable,false,partial,OpenBLAS DTRSV and raised cuBLAS DTRSV pass,logs/trisolv,ir/trisolv
trmm,linear-algebra/blas,tools/cgeist/Test/polybench/linear-algebra/blas/trmm/trmm.c,LARGE,double,8fffe7daaa8911e0d9ad200cd17f6950c8ee9b3c01a65c4ae56688f909184576,pass,pass,pass,pass,pass,pass,unavailable,not_applicable,not_applicable,false,partial,OpenBLAS DTRMM and equivalent raised cuBLAS DTRMV/DSCAL composition pass,logs/trmm,ir/trmm
