kernel,executable_status,correctness,problem,raised_us,resident_cuda_us,raised_over_resident,baseline,statistic,hardware,notes
aten_gradient_float_cpu,EXECUTED,PASS,N=4194304,10366.361597,—,—,cuDNN Backend pointwise operation graph,median of 3 processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,partial graph interior; pre-ABI one-shot bufferization preserves scalar boundary stores; correctness-gated
aten_grid_sampler_2d_backward_cpu,BUILD_FAIL,—,B=2 C=16 IH=128 IW=128 OH=96 OW=96,—,—,—,—,—,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,large multidimensional shape emitted zero graph launches and retained polygeist.memref2pointer during LLVM lowering
aten_host_softmax_backward_cpu,NO_LARGE_SHAPE_GRAPH,—,R=65536 K=64,—,—,—,—,—,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,partial graph epilogue matched only in canonical small IR; large-shape build emitted zero library launches
aten_layer_norm,EXECUTED,PASS,N=4194304,17961.921595,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,partial graph epilogue; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_lerp,EXECUTED,PASS,N=4194304,8391.043213,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_lerp_scalar,EXECUTED,PASS,N=4194304,6374.312024,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_lerp_scalar_cpu,EXECUTED,PASS,N=4194304,6529.977612,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_lerp_tensor_cpu,EXECUTED,PASS,N=4194304,8510.675208,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_log_normal_cpu,EXECUTED,PASS,N=4194304,4496.142395,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_mse_backward,EXECUTED,PASS,N=4194304,6516.175989,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_mse_elementwise,EXECUTED,PASS,N=4194304,6491.582409,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_mse_loss,EXECUTED,PASS,N=4194304,10339.659167,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,partial graph plus reduction; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_nested_softmax_backward_cpu,NO_LARGE_SHAPE_GRAPH,—,B=65536 N=64,—,—,—,—,—,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,partial graph epilogue matched only in canonical small IR; large-shape build emitted zero library launches
aten_normal_cpu,EXECUTED,PASS,N=4194304,4605.601587,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_rsqrt,EXECUTED,PASS,N=4194304,4618.699206,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_sigmoid_backward,EXECUTED,PASS,N=4194304,6844.782398,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_sparse_coo_softmax_backward_cpu,NO_LARGE_SHAPE_GRAPH,—,R=524288 K=8,—,—,—,—,—,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,partial graph epilogue matched only in canonical small IR; large-shape build emitted zero library launches
aten_square,EXECUTED,PASS,N=4194304,4368.563245,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_tanh_backward,EXECUTED,PASS,N=4194304,6672.932813,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_uniform_cpu,EXECUTED,PASS,N=4194304,4649.033606,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
