kernel,executable_status,correctness,problem,raised_us,resident_cuda_us,raised_over_resident,baseline,statistic,hardware,notes
aten_addcdiv,EXECUTED,PASS,N=4194304,8397.996777,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 3/3 warmed process runs; correctness-gated
aten_addcmul,EXECUTED,PASS,N=4194304,8403.686401,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 3/3 warmed process runs; correctness-gated
aten_addmm,EXECUTED,PASS,M512 N512 K512,144.114,96.95,1.486478,cuBLAS Sgemm beta=.5 alpha=1.25,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated | f32 cublasSgemm/Sgemv silicon re-run 2026-08-28 to match ATen-native f32; warm median runs 2-4
aten_as_complex_cpu,EXECUTED,PASS,N=8388608,49486.598372,27387.167969,1.806926,2x cudaMemcpy2D D2D,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_asin,EXECUTED,PASS,N=8388608,1509.913569,—,—,cutensorUnary_asin_f32,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_asinh,EXECUTED,PASS,N=8388608,1685.119979,—,—,cutensorUnary_asinh_f32,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_atan,EXECUTED,PASS,N=8388608,1510.822400,—,—,cutensorUnary_atan_f32,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_atanh,EXECUTED,PASS,N=8388608 unit-domain,1535.852812,—,—,cutensorUnary_atanh_f32,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_avg_pool2d,EXECUTED,PASS,B=2 C=4 H=16 W=16,10.476800,—,—,cudnnAvgPoolWindow_f32,median of 3 process warm means; 10 timed calls/process,Jetson Orin sm87 MAXN CUDA 12.6,current matcher and lowering revalidated 2026-09-05; zero errors; mapped host-pointer GPU execution
aten_avg_pool2d_cpu,EXECUTED,PASS,B=1 C=2 I=6x7 O=3x3 K=S=2,824.297607,—,—,cuDNN Backend Resample average forward,warm median of 3 process runs,Jetson Orin sm87 MAXN CUDA 12.6,odd trailing column correctly excluded; host-pointer transfers included; errors=0 max_error=1.19209e-07
aten_avg_pool2d_backward_cpu,EXECUTED,PASS,B=1 C=2 I=6x7 O=3x3 K=S=2,233.971200,—,—,cuDNN depthwise ConvolutionBackwardData,median of 3 process warm means; 10 timed calls/process,Jetson Orin sm87 MAXN CUDA 12.6,whole fixed-window algorithm revalidated 2026-09-05; exact trailing-column semantics; zero errors; mapped host-pointer GPU execution
aten_avg_pool3d,EXECUTED,PASS,B=2 C=3 D=8 H=8 W=8,12.803200,—,—,cudnnAveragePool_f32_r5,median of 3 process warm means; 10 timed calls/process,Jetson Orin sm87 MAXN CUDA 12.6,current matcher and lowering revalidated 2026-09-05; zero errors; mapped host-pointer GPU execution
aten_avg_pool3d_cpu,EXECUTED,PASS,B=1 C=2 I=6x7x8 O=3x3x4 K=S=2,895.020801,—,—,cuDNN Backend Resample average forward,warm median of 3 process runs,Jetson Orin sm87 MAXN CUDA 12.6,odd trailing row correctly excluded; errors=0 max_error=5.96046e-08
aten_avg_pool3d_backward_cpu,EXECUTED,PASS,B=1 C=2 I=6x7x8 O=3x3x4 K=S=2,331.433600,—,—,cuDNN depthwise ConvolutionBackwardData,median of 3 process warm means; 10 timed calls/process,Jetson Orin sm87 MAXN CUDA 12.6,whole fixed-window 3D algorithm revalidated 2026-09-05; exact trailing-row semantics; zero errors; mapped host-pointer GPU execution
aten_batch_norm_backward_cpu,EXECUTED,PASS,N=4 C=8 spatial=32,38.444824,—,—,cuDNN BatchNormalizationBackward,warm median of 3 process runs,Jetson Orin sm87 MAXN CUDA 12.6,computes dX dWeight and dBias from saved mean/invstd; errors=0 max_error=1.52588e-05
aten_batch_norm_backward_template_cpu,EXECUTED,PASS,N=8 C=16 spatial=256,37.561621,—,—,cuDNN BatchNormalizationBackward,warm median of 3 process runs,Jetson Orin sm87 MAXN CUDA 12.6,input-gradient-only route uses implicit unit scale and discards parameter gradients; errors=0 max_error=2.68221e-07
aten_batch_norm,EXECUTED,PASS,B32 C64 H64 W64,653.036777,392.196808,1.665074,cuDNN BatchNormalizationForwardInference,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_batch_norm_cpu_entry,EXECUTED,PASS,N=4194304,4380.937549,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 3/3 warmed process runs; correctness-gated
aten_bf16_dot_cpu,EXECUTED,PASS,K=4194304,6082.048000,—,—,cublasSdot_memref,median of 3 process warm means; 10 timed calls/process,Jetson Orin sm87 MAXN CUDA 12.6,current matcher and lowering revalidated 2026-09-05; zero errors; mapped host-pointer GPU execution
aten_bf16_gemv_trans_cpu,EXECUTED,PASS,M=64 K=128,13.820800,—,—,cublasSgemvTZero_memref,median of 3 process warm means; 10 timed calls/process,Jetson Orin sm87 MAXN CUDA 12.6,current matcher and lowering revalidated 2026-09-05; zero errors; mapped host-pointer GPU execution
aten_binary_cross_entropy,RAISING_INCOMPLETE,—,—,—,—,—,—,—,Jetson Orin sm87 MAXN,external logf leaves one residual loop
aten_blas_axpy_cpu,EXECUTED,PASS,N=16777216,1924.499217,—,—,cublasSaxpby,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_blas_copy_cpu,EXECUTED,PASS,N=16777216,6829.843204,697.302368,9.794665,cudaMemcpy D2D,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_blas_dot_naive_cpu,EXECUTED,PASS,N=K=16777216,858.073588,763.835205,1.123375,cuBLAS Sdot,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_blas_gemv_generic_cpu,EXECUTED,PASS,M=4096 K=8192,884.396816,758.952026,1.165287,cuBLAS Sgemv,warm median of process runs 2-4,Jetson Orin sm87 CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_blas_scale_cpu,EXECUTED,PASS,N=16777216,849.414384,—,—,cublasSscal,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_bmm,EXECUTED,PASS,—,5929.100839,—,—,—,warm median of process runs 2-4,Jetson Orin sm87 MAXN,mapped path correctness-gated; cudaMalloc path unavailable because the generated ABI wrapper performs a host memcpy epilogue
aten_cat_serial_cpu,EXECUTED,PASS,R=4096 M=4096 K=2048,6822.777633,701.761597,9.722358,2x cudaMemcpy D2D,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_ceil,EXECUTED,PASS,N=8388608,1492.780773,—,—,cutensorUnary_ceil_f32,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_channel_shuffle,RAISED_NO_LIBRARY_ROUTE,—,—,—,—,—,—,—,Jetson Orin sm87 MAXN,layout transform intentionally rejected as copy
aten_clamp,EXECUTED,PASS,N=4194304,4662.255981,—,—,cuDNN Backend min/max graph,warm mean of 10 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph active; exact clamp rewrite; host-pointer transfers included
aten_complex_scalarized,EXECUTED,PASS,N=8388608,6865.696004,700.889587,9.795688,2x cudaMemcpy D2D,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_conj_complex_scalarized,EXECUTED,PASS,N=8388608,5421.215994,—,—,"cudaCopy1D_f32_tensor,cutensorUnary_neg_f32",warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_conv1d,RAISED_NO_LIBRARY_ROUTE,—,—,—,—,—,—,—,Jetson Orin sm87 MAXN,2 Linalg ops; no 1D convolution route
aten_conv2d,EXECUTED,PASS,B8 IC32 OC64 H64 W64 KH3 KW3,854.982389,436.988770,1.956532,cuDNN ConvolutionForward,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_conv3d,EXECUTED,PASS,B1 IC8 OC16 D48 H48 W48 K3,884.665595,447.262390,1.977957,cuDNN Conv3D + bias,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_conv_transpose3d_backward_cpu,EXECUTED,PASS,C8 O16 D48 H48 W48 K3,764.467195,449.039978,1.702448,cuDNN Conv3D,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_copy_cpu,EXECUTED,PASS,N=16777216,6786.847999,695.990417,9.751353,cudaMemcpy D2D,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_copy_tensor_array_cpu,EXECUTED,PASS,B=4096 N=4096,6802.419201,697.036743,9.759054,cudaMemcpy D2D,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_cos,EXECUTED,PASS,N=8388608,1520.121610,—,—,cutensorUnary_cos_f32,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_cosh,EXECUTED,PASS,N=8388608,1499.705575,—,—,cutensorUnary_cosh_f32,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_cpu_blas_gemm_batched_cpu,EXECUTED,PASS,B=16 M=256 N=256 K=256,5867.308797,—,—,cublasSgemm_strided_batched_nn_zero,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped path correctness-gated; cudaMalloc path unavailable because the generated ABI wrapper performs a host memcpy epilogue
aten_cpu_blas_gemm_cpu,EXECUTED,PASS,M=512 N=512 K=512,2000.377607,—,—,cublasSgemm_nn_zero,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped path correctness-gated; cudaMalloc path unavailable because the generated ABI wrapper performs a host memcpy epilogue
aten_cpu_blas_gemm_strided_batched_cpu,EXECUTED,PASS,B=16 M=256 N=256 K=256,5893.747229,—,—,cublasSgemm_strided_batched_nn_zero,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped path correctness-gated; cudaMalloc path unavailable because the generated ABI wrapper performs a host memcpy epilogue
aten_cross,EXECUTED,PASS,N=1398101,93251.824048,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,three graph stages; mapped host-pointer ABI; graph active in 3/3 warmed process runs; correctness-gated
aten_cross_cpu_backend,EXECUTED,PASS,V=1398101,92928.380737,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,three graph stages; mapped host-pointer ABI; graph active in 3/3 warmed process runs; correctness-gated
aten_cumsum,RAISED_NO_LIBRARY_ROUTE,—,—,—,—,—,—,—,Jetson Orin sm87 MAXN,scan raises to Linalg but has no scan route
aten_dirichlet_transform_cpu,NO_LARGE_SHAPE_GRAPH,—,R=65536 C=64,—,—,—,—,—,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,partial graph epilogue matched only in canonical small IR; large-shape build emitted zero library launches
aten_div,EXECUTED,PASS,N=4194304,6417.025574,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_dot,EXECUTED,PASS,N8388608,878.323196,766.452759,1.145959,cuBLAS Ddot,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_elu,EXECUTED,PASS,N=4194304,4712.633643,—,—,cuDNN Backend min/max/exp graph,warm mean of 10 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph active; max_error=8.9407e-08; host-pointer transfers included
aten_embedding,RAISING_INCOMPLETE,—,—,—,—,—,—,—,Jetson Orin sm87 MAXN,indexed gather leaves 2 residual loops
aten_exp,EXECUTED,PASS,N=8388608,1505.280007,—,—,cutensorUnary_exp_f32,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_fast_cat_dim0_cpu,EXECUTED,PASS,B=4096 N=4096,6839.865586,696.750366,9.816809,cudaMemcpy D2D,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_flatten_nd_linear_cpu,EXECUTED,PASS,B16 M256 N256 K256,239.180820,177.688004,1.346072,"cuBLAS SgemmStridedBatched, broadcast RHS",warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_floor,EXECUTED,PASS,N=8388608,1493.542409,—,—,cutensorUnary_floor_f32,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_fp16_dot_cpu,EXECUTED,PASS,K=16777216 scalarized-f32,857.900782,764.278442,1.122498,cuBLAS Sdot,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_fp16_gemv_f16arith_cpu,EXECUTED,PASS,M=4096 K=8192 scalarized-f32,887.705572,758.612854,1.170169,cuBLAS Sgemv,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_fp16_gemv_f32arith_cpu,EXECUTED,PASS,M=4096 K=8192 scalarized-f32,881.356793,758.652771,1.161739,cuBLAS Sgemv,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_fp16_gemv_notrans_cpu,EXECUTED,PASS,M=4096 K=8192 scalarized-f32,881.727971,758.255981,1.162837,cuBLAS Sgemv,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_fp16_gemv_trans_cpu,EXECUTED,PASS,M=4096 K=8192 scalarized-f32 trans,905.977562,793.486450,1.141768,cuBLAS Sgemv,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_gelu,EXECUTED,PASS,N8388608,13344.268780,437.297546,30.515307,fused CUDA GELU kernel,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_gelu_cpu_tanh,EXECUTED,PASS,N=8388608,13357.612770,437.297546,30.545821,fused CUDA GELU (equivalent prior baseline),warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_gemm_notrans_cpu,EXECUTED,PASS,M=512 N=512 K=512,1685.900800,—,—,cublasSgemm_nn,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped path correctness-gated; cudaMalloc path unavailable because the generated ABI wrapper performs a host memcpy epilogue
aten_gemm_transa_cpu,EXECUTED,PASS,M=512 N=512 K=512 GEMM_TRANS_A,1961.798407,—,—,cublasSgemm_tn,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped path correctness-gated; cudaMalloc path unavailable because the generated ABI wrapper performs a host memcpy epilogue
aten_gemm_transab_cpu,EXECUTED,PASS,M=512 N=512 K=512 GEMM_TRANS_A/GEMM_TRANS_B,2006.079955,—,—,cublasSgemm_tt,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped path correctness-gated; cudaMalloc path unavailable because the generated ABI wrapper performs a host memcpy epilogue
aten_gemm_transb_cpu,EXECUTED,PASS,M=512 N=512 K=512 GEMM_TRANS_B,1715.763239,—,—,cublasSgemm_nt,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped path correctness-gated; cudaMalloc path unavailable because the generated ABI wrapper performs a host memcpy epilogue
aten_glu,EXECUTED,PASS,N=4194304,6633.153614,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_glu_backward,EXECUTED,PASS,N=4194304,8711.921594,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_gradient_cpu,EXECUTED,PASS,N=4194304,6528.492847,—,—,cuDNN Backend pointwise operation graph,median of 3 processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,partial graph interior; pre-ABI one-shot bufferization preserves scalar boundary stores; correctness-gated
aten_gradient_float_cpu,EXECUTED,PASS,N=4194304,10366.361597,—,—,cuDNN Backend pointwise operation graph,median of 3 processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,partial graph interior; pre-ABI one-shot bufferization preserves scalar boundary stores; correctness-gated
aten_grid_sampler_2d_backward_cpu,BUILD_FAIL,—,B=2 C=16 IH=128 IW=128 OH=96 OW=96,—,—,—,—,—,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,large multidimensional shape emitted zero graph launches and retained polygeist.memref2pointer during LLVM lowering
aten_hardsigmoid,RAISED_NO_LIBRARY_ROUTE,—,—,—,—,—,—,—,Jetson Orin sm87 MAXN,1 Linalg op; no whole-kernel library match
aten_hardswish,RAISED_NO_LIBRARY_ROUTE,—,—,—,—,—,—,—,Jetson Orin sm87 MAXN,1 Linalg op; no whole-kernel library match
aten_hardtanh,RAISED_NO_LIBRARY_ROUTE,—,—,—,—,—,—,—,Jetson Orin sm87 MAXN,1 Linalg op; no whole-kernel library match
aten_host_softmax_backward_cpu,NO_LARGE_SHAPE_GRAPH,—,R=65536 K=64,—,—,—,—,—,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,partial graph epilogue matched only in canonical small IR; large-shape build emitted zero library launches
aten_im2col,RAISED_NO_LIBRARY_ROUTE,—,—,—,—,—,—,—,Jetson Orin sm87 MAXN,window gather intentionally rejected as copy
aten_l1_loss,RAISED_NO_LIBRARY_ROUTE,—,—,—,—,—,—,—,Jetson Orin sm87 MAXN,1 Linalg op; no reduction composition
aten_layer_norm,EXECUTED,PASS,N=4194304,17961.921595,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,partial graph epilogue; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_leaky_relu,EXECUTED,PASS,N=4194304,4682.860815,—,—,cuDNN Backend min/max/mul graph,warm mean of 10 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph active; exact min-max arithmetic rewrite; host-pointer transfers included
